127.0.0.1 - - [07/Jul/2025:11:07:04 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [07/Jul/2025:11:07:10 +0530] "GET /BankWebApp/index.jsp HTTP/1.1" 200 13680
0:0:0:0:0:0:0:1 - - [07/Jul/2025:11:07:11 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [07/Jul/2025:11:07:14 +0530] "GET /BankWebApp/login.jsp HTTP/1.1" 200 3413
0:0:0:0:0:0:0:1 - - [07/Jul/2025:11:07:14 +0530] "GET /BankWebApp/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jul/2025:11:07:29 +0530] "POST /BankWebApp/LoginServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Jul/2025:11:07:29 +0530] "GET /BankWebApp/dashboard.jsp HTTP/1.1" 200 12518
0:0:0:0:0:0:0:1 - - [07/Jul/2025:11:07:48 +0530] "GET /BankWebApp/ProfileServlet HTTP/1.1" 200 12119
0:0:0:0:0:0:0:1 - - [07/Jul/2025:11:07:52 +0530] "GET /BankWebApp/MiniStatementServlet HTTP/1.1" 200 12956
0:0:0:0:0:0:0:1 - - [07/Jul/2025:11:08:20 +0530] "GET /BankWebApp/logout.jsp HTTP/1.1" 200 2079
0:0:0:0:0:0:0:1 - - [07/Jul/2025:11:08:22 +0530] "GET /BankWebApp/login.jsp HTTP/1.1" 200 3413
0:0:0:0:0:0:0:1 - - [07/Jul/2025:11:08:31 +0530] "GET /BankWebApp/index.jsp HTTP/1.1" 200 13680
0:0:0:0:0:0:0:1 - - [07/Jul/2025:11:08:38 +0530] "GET /BankWebApp/login.jsp HTTP/1.1" 200 3413
0:0:0:0:0:0:0:1 - - [07/Jul/2025:11:08:44 +0530] "POST /BankWebApp/LoginServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Jul/2025:11:08:44 +0530] "GET /BankWebApp/dashboard.jsp HTTP/1.1" 200 12518
0:0:0:0:0:0:0:1 - - [07/Jul/2025:11:08:48 +0530] "GET /BankWebApp/ProfileServlet HTTP/1.1" 200 12119
0:0:0:0:0:0:0:1 - - [07/Jul/2025:11:09:06 +0530] "GET /BankWebApp/dashboard.jsp HTTP/1.1" 200 12518
0:0:0:0:0:0:0:1 - - [07/Jul/2025:11:09:10 +0530] "GET /BankWebApp/MiniStatementServlet HTTP/1.1" 200 12956
0:0:0:0:0:0:0:1 - - [07/Jul/2025:11:09:15 +0530] "GET /BankWebApp/ExportPDFServlet HTTP/1.1" 200 1229
